tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36629,7803,8653592,144477,2017-08-01 16:23:56
892177421306343426,31559,5779,8653590,144477,2017-08-01 00:17:27
891815181378084864,23772,3825,8653592,144477,2017-07-31 00:18:03
891689557279858688,39952,7970,8653592,144477,2017-07-30 15:58:51
891327558926688256,38151,8604,8653592,144477,2017-07-29 16:00:24
891087950875897856,19190,2871,8653592,144477,2017-07-29 00:08:17
890971913173991426,11180,1889,8653590,144477,2017-07-28 16:27:12
890729181411237888,61765,17420,8653592,144477,2017-07-28 00:22:40
890609185150312448,26433,3962,8653593,144477,2017-07-27 16:25:51
890240255349198849,30228,6786,8653593,144477,2017-07-26 15:59:51
890006608113172480,29102,6770,8653593,144477,2017-07-26 00:31:25
889880896479866881,26437,4619,8653593,144477,2017-07-25 16:11:53
889665388333682689,45560,9249,8653588,144477,2017-07-25 01:55:32
889638837579907072,25669,4150,8653593,144477,2017-07-25 00:10:02
889531135344209921,14339,2083,8653593,144477,2017-07-24 17:02:04
889278841981685760,23877,4934,8653589,144477,2017-07-24 00:19:32
888917238123831296,27605,4166,8653589,144477,2017-07-23 00:22:39
888804989199671297,24255,3934,8653594,144477,2017-07-22 16:56:37
888554962724278272,18744,3225,8653594,144477,2017-07-22 00:23:06
888078434458587136,20648,3200,8653594,144477,2017-07-20 16:49:33
887705289381826560,28637,4968,8653594,144477,2017-07-19 16:06:48
887517139158093824,43921,10854,8653594,144477,2017-07-19 03:39:09
887473957103951883,65286,16643,8653594,144477,2017-07-19 00:47:34
887343217045368832,31924,9659,8653590,144477,2017-07-18 16:08:03
887101392804085760,29026,5505,8653594,144477,2017-07-18 00:07:08
886983233522544640,33196,7098,8653594,144477,2017-07-17 16:17:36
886736880519319552,11380,2983,8653589,144477,2017-07-16 23:58:41
886680336477933568,21301,4121,8653594,144477,2017-07-16 20:14:00
886366144734445568,20047,2927,8653594,144477,2017-07-15 23:25:31
886267009285017600,113,4,8653594,144477,2017-07-15 16:51:35
886258384151887873,26525,5832,8653589,144477,2017-07-15 16:17:19
886054160059072513,0,100,8653594,144477,2017-07-15 02:45:48
885984800019947520,30892,6217,8653594,144477,2017-07-14 22:10:11
885528943205470208,34077,5897,8653594,144477,2017-07-13 15:58:47
885518971528720385,19407,3452,8653594,144477,2017-07-13 15:19:09
885311592912609280,0,17137,8653594,144477,2017-07-13 01:35:06
885167619883638784,20762,4044,8653591,144477,2017-07-12 16:03:00
884925521741709313,73265,16725,8653589,144477,2017-07-12 00:01:00
884876753390489601,26416,5165,8653594,144477,2017-07-11 20:47:12
884562892145688576,23045,4346,8653589,144477,2017-07-11 00:00:02
884441805382717440,25646,5249,8653594,144477,2017-07-10 15:58:53
884247878851493888,69026,18810,8653589,144477,2017-07-10 03:08:17
884162670584377345,19339,2764,8653594,144477,2017-07-09 21:29:42
883838122936631299,20723,3186,8653594,144477,2017-07-09 00:00:04
883482846933004288,43496,9137,8653594,144477,2017-07-08 00:28:19
883360690899218434,21523,3425,8653594,144477,2017-07-07 16:22:55
883117836046086144,35190,6132,8653594,144477,2017-07-07 00:17:54
882992080364220416,22660,3601,8653594,144477,2017-07-06 15:58:11
882762694511734784,26824,4522,8653594,144477,2017-07-06 00:46:41
882627270321602560,26532,5614,8653594,144477,2017-07-05 15:48:34
882268110199369728,42567,10717,8653590,144477,2017-07-04 16:01:23
882045870035918850,27807,4530,8653594,144477,2017-07-04 01:18:17
881906580714921986,23076,3136,8653594,144477,2017-07-03 16:04:48
881666595344535552,48043,9874,8653594,144477,2017-07-03 00:11:11
881633300179243008,120,7,8653594,144477,2017-07-02 21:58:53
881536004380872706,46899,14764,8653594,144477,2017-07-02 15:32:16
881268444196462592,21990,4852,8653594,144477,2017-07-01 21:49:04
880935762899988482,16171,2580,8653594,144477,2017-06-30 23:47:07
880872448815771648,20203,3542,8653594,144477,2017-06-30 19:35:32
880465832366813184,27059,5766,8653589,144477,2017-06-29 16:39:47
880221127280381952,25617,3865,8653594,144477,2017-06-29 00:27:25
880095782870896641,26213,4011,8653590,144477,2017-06-28 16:09:20
879862464715927552,21205,3238,8653594,144477,2017-06-28 00:42:13
879674319642796034,297,10,8653594,144477,2017-06-27 12:14:36
879492040517615616,22265,2946,8653595,144477,2017-06-27 00:10:17
879415818425184262,100417,41108,8653589,144477,2017-06-26 19:07:24
879376492567855104,15946,2901,8653595,144477,2017-06-26 16:31:08
879130579576475649,0,6295,8653595,144477,2017-06-26 00:13:58
879050749262655488,21395,4327,8653589,144477,2017-06-25 18:56:45
879008229531029506,18024,2487,8653594,144477,2017-06-25 16:07:47
878776093423087618,18386,3783,8653594,144477,2017-06-25 00:45:22
878604707211726852,28636,6605,8653594,144477,2017-06-24 13:24:20
878404777348136964,0,1195,8653595,144477,2017-06-24 00:09:53
878316110768087041,0,6180,8653594,144477,2017-06-23 18:17:33
878281511006478336,7337,1195,8653595,144477,2017-06-23 16:00:04
878057613040115712,39944,6295,8653595,144477,2017-06-23 01:10:23
877736472329191424,75442,17574,8653594,144477,2017-06-22 03:54:17
877611172832227328,0,74,8653595,144477,2017-06-21 19:36:23
877556246731214848,21572,3535,8653595,144477,2017-06-21 15:58:08
877316821321428993,26030,4807,8653594,144477,2017-06-21 00:06:44
877201837425926144,25746,5183,8653590,144477,2017-06-20 16:29:50
876838120628539392,19650,3093,8653595,144477,2017-06-19 16:24:33
876537666061221889,22437,4339,8653595,144477,2017-06-18 20:30:39
876484053909872640,17844,2206,8653594,144477,2017-06-18 16:57:37
876120275196170240,26582,4332,8653595,144477,2017-06-17 16:52:05
875747767867523072,23929,3969,8653595,144477,2017-06-16 16:11:53
875144289856114688,20826,4562,8653594,144477,2017-06-15 00:13:52
875097192612077568,26107,5651,8653594,144477,2017-06-14 21:06:43
875021211251597312,24238,4396,8653595,144477,2017-06-14 16:04:48
874680097055178752,26477,4304,8653595,144477,2017-06-13 17:29:20
874434818259525634,0,13529,8653594,144477,2017-06-13 01:14:41
874296783580663808,24782,3819,8653595,144477,2017-06-12 16:06:11
874057562936811520,21617,3693,8653595,144477,2017-06-12 00:15:36
874012996292530176,32750,9587,8653595,144477,2017-06-11 21:18:31
873580283840344065,23058,3657,8654254,144478,2017-06-10 16:39:04
873337748698140672,0,1485,8653595,144477,2017-06-10 00:35:19
873213775632977920,6833,1485,8653595,144477,2017-06-09 16:22:42
872967104147763200,26022,5062,8653595,144477,2017-06-09 00:02:31
872820683541237760,14051,3465,8653595,144477,2017-06-08 14:20:41
872620804844003328,19786,3411,8653595,144477,2017-06-08 01:06:27
872486979161796608,38878,8435,8653595,144477,2017-06-07 16:14:40
872122724285648897,32793,7564,8653595,144477,2017-06-06 16:07:15
871879754684805121,35985,10314,8653595,144477,2017-06-06 00:01:46
871762521631449091,19345,3257,8653594,144477,2017-06-05 16:15:56
871515927908634625,19270,3248,8653594,144477,2017-06-04 23:56:03
871166179821445120,0,5354,8654254,144478,2017-06-04 00:46:17
871102520638267392,20020,5167,8653595,144477,2017-06-03 20:33:19
871032628920680449,21733,3583,8653595,144477,2017-06-03 15:55:36
870804317367881728,32191,5813,8653595,144477,2017-06-03 00:48:22
870726314365509632,117,3,8653594,144477,2017-06-02 19:38:25
870656317836468226,11852,2476,8653595,144477,2017-06-02 15:00:16
870374049280663552,79339,24829,8653594,144477,2017-06-01 20:18:38
870308999962521604,20955,3896,8653595,144477,2017-06-01 16:00:09
870063196459192321,35036,7817,8653595,144477,2017-05-31 23:43:25
869772420881756160,40735,9495,8653595,144477,2017-05-31 04:27:59
869702957897576449,27075,5935,8653595,144477,2017-05-30 23:51:58
869596645499047938,15320,2944,8653595,144477,2017-05-30 16:49:31
869227993411051520,19585,3567,8653595,144477,2017-05-29 16:24:37
868880397819494401,62831,13609,8653594,144477,2017-05-28 17:23:24
868639477480148993,0,1959,8653594,144477,2017-05-28 01:26:04
868622495443632128,25623,4996,8653595,144477,2017-05-28 00:18:35
